requests,memory,threads,cpu,anomaly
0.01863,20872234.0,114.0,0.0531514715289156,1
0.03236,20872234.0,114.0,0.0531514715289156,1
0.01822,20800922.0,114.0,0.0011936679729921,1
0.04508,20800922.0,114.0,0.0011936679729921,1
0.01857,20803354.0,114.0,0.0026413200452434,1
0.02831,20803354.0,114.0,0.0026413200452434,1
0.04163,20803498.0,114.0,0.0016103529001579,1
0.01574,20803498.0,114.0,0.0016103529001579,1
0.03278,22958182.0,27.0,0.0962146262178619,1
0.03615,357484303.0,26.0,0.0025269836378789,1
0.01557,300461864.0,29.0,0.0689161855697195,1
0.01274,300461864.0,23.0,0.1235698995829012,1
0.03381,300991516.0,26.0,0.0204951830453378,1
0.04454,300993961.0,23.0,0.1702130585955788,1
0.02851,278582879.0,29.0,0.0745767170531551,1
0.03677,279195410.0,32.0,0.2172161794208843,1
0.03175,279416978.0,23.0,0.1667314344180186,1
0.01855,280188964.0,23.0,0.2946163741414723,1
0.04787,280164039.0,23.0,0.1240105690009104,1
0.01332,281012920.0,23.0,0.0961917381411091,1
0.04653,281376307.0,23.0,0.4312091841855459,1
0.04281,281679011.0,26.0,0.0124972340111993,1
0.04261,427179345.0,29.0,0.0140884824648575,1
0.04351,278375190.0,31.0,0.0257591317459639,1
0.03871,278573547.0,29.0,0.0331864087071164,1
0.01798,278502313.0,23.0,0.2726492051526578,1
0.03712,279115662.0,32.0,0.2582736468498289,1
0.03309,279176960.0,23.0,0.325612632918209,1
0.01004,281275570.0,25.0,0.0113134479912173,1
0.0222246916324036,16289375.0,27.0,0.0812788405314874,1
0.01777896304198056,22013414.0,27.0,0.0699225391481093,1
0.0177793581651702,22800934.0,27.0,0.1291330146916767,1
0.01777856793635272,15174675.0,73.0,0.0128130284283609,1
0.01777896304198056,17273059.0,27.0,0.1099088405739326,1
0.01777856793635272,15424796.0,75.0,0.0127442092724787,1
0.017780543640121778,20669599.0,27.0,0.1156344515817488,1
0.0177781728482855,15390263.0,73.0,0.0145010745906984,1
0.01777738272482832,15915274.0,73.0,0.0104482521879331,1
